ip,app,device,os,channel,click_time,attributed_time,app*device,app*os,,is_attributed
165408,2,1,41,477,2017-11-06 16:07:21,,2,82,,0
48182,3,1,20,280,2017-11-06 16:10:59,,3,60,,0
61237,23,1,13,153,2017-11-06 16:02:57,,23,299,,0
101919,12,1,22,259,2017-11-06 16:02:27,,12,264,,0
207329,18,1,9,439,2017-11-06 16:18:28,,18,162,,0
61635,6,1,8,459,2017-11-06 16:16:52,,6,48,,0
172498,107,1,19,171,2017-11-06 16:03:59,2017-11-07 04:45:58,107,2033,,1
120440,3,1,19,409,2017-11-06 16:14:05,,3,57,,0
158591,12,1,13,140,2017-11-06 16:03:37,,12,156,,0
182096,13,1,13,469,2017-11-06 16:14:09,,13,169,,0
28963,3,1,14,480,2017-11-06 16:02:38,,3,42,,0
59124,2,1,19,477,2017-11-06 16:07:56,,2,38,,0
202059,19,0,24,213,2017-11-06 16:04:50,2017-11-06 16:05:41,0,456,,1
61229,8,1,18,259,2017-11-06 16:04:51,,8,144,,0
126416,29,1,22,282,2017-11-06 16:11:20,2017-11-07 06:50:52,29,638,,1
91526,19,0,0,213,2017-11-06 16:03:12,2017-11-06 16:04:40,0,0,,1
70645,18,1,30,107,2017-11-06 16:05:36,,18,540,,0
77415,2,1,9,469,2017-11-06 16:17:07,,2,18,,0
20547,1,2,65,134,2017-11-06 16:15:29,,2,65,,0
59596,64,1,15,459,2017-11-06 16:20:32,,64,960,,0
99924,8,1,13,145,2017-11-06 16:07:20,2017-11-07 06:03:26,8,104,,1
1310,19,0,21,213,2017-11-06 16:21:16,2017-11-06 16:22:19,0,399,,1
147046,8,1,20,145,2017-11-06 16:00:28,2017-11-07 01:04:44,8,160,,1
175837,12,1,19,245,2017-11-06 16:09:56,,12,228,,0
24031,9,1,12,215,2017-11-06 16:07:35,,9,108,,0
9629,9,1,10,134,2017-11-06 16:12:03,,9,90,,0
8230,11,1,14,319,2017-11-06 16:20:24,2017-11-07 06:22:08,11,154,,1
993,15,1,19,315,2017-11-06 16:21:29,,15,285,,0
31393,35,1,19,274,2017-11-06 16:06:23,2017-11-06 22:37:22,35,665,,1
190239,9,1,19,334,2017-11-06 16:13:47,2017-11-07 05:10:45,9,171,,1
92766,9,1,17,234,2017-11-06 16:06:57,,9,153,,0
202763,29,1,19,213,2017-11-06 16:01:45,2017-11-06 16:02:24,29,551,,1
209663,12,1,8,124,2017-11-06 16:18:15,,12,96,,0
74834,2,1,14,258,2017-11-06 16:13:58,,2,28,,0
24793,19,18,0,282,2017-11-06 16:22:44,2017-11-06 16:23:57,342,0,,1
79808,64,2,13,459,2017-11-06 16:10:09,,128,832,,0
37774,3,1,13,173,2017-11-06 16:22:48,2017-11-06 16:24:24,3,39,,1
153407,3,1,13,280,2017-11-06 16:01:08,2017-11-06 16:25:09,3,39,,1
114816,1,1,25,134,2017-11-06 16:00:54,,1,25,,0
122627,14,1,13,480,2017-11-06 16:10:23,,14,182,,0
100971,3,1,19,280,2017-11-06 16:18:59,2017-11-06 16:19:56,3,57,,1
137944,19,0,21,213,2017-11-06 16:09:14,2017-11-06 16:10:34,0,399,,1
157738,19,0,0,213,2017-11-06 16:07:53,2017-11-06 16:08:49,0,0,,1
58346,15,1,13,315,2017-11-06 16:13:17,,15,195,,0
179541,12,1,17,178,2017-11-06 16:22:05,,12,204,,0
104889,10,1,13,317,2017-11-06 16:11:04,2017-11-07 02:47:56,10,130,,1
144498,12,1,13,265,2017-11-06 16:14:23,,12,156,,0
124470,1,1,32,153,2017-11-06 16:02:33,,1,32,,0
42773,12,1,8,245,2017-11-06 16:13:22,,12,96,,0
8438,2,1,17,237,2017-11-06 16:09:52,,2,34,,0
6721,3,1,6,280,2017-11-06 16:12:44,,3,18,,0
77621,64,1,16,459,2017-11-06 16:07:52,,64,1024,,0
119303,3,1,13,466,2017-11-06 16:04:38,,3,39,,0
66973,35,1,17,274,2017-11-06 16:10:06,2017-11-06 18:56:56,35,595,,1
108881,9,1,41,134,2017-11-06 16:00:33,,9,369,,0
136161,105,1,19,451,2017-11-06 16:01:49,2017-11-06 16:04:18,105,1995,,1
128249,24,1,64,105,2017-11-06 16:03:54,,24,1536,,0
83306,9,1,13,134,2017-11-06 16:06:22,,9,117,,0
30314,8,1,19,140,2017-11-06 16:00:10,2017-11-07 03:28:19,8,152,,1
201182,19,0,50,347,2017-11-06 16:05:22,2017-11-06 16:06:55,0,950,,1
124202,9,2,79,234,2017-11-06 16:01:11,,18,711,,0
199017,3,1,40,205,2017-11-06 16:06:36,2017-11-06 16:07:02,3,120,,1
4019,20,1,13,259,2017-11-06 16:01:02,,20,260,,0
112174,14,1,18,401,2017-11-06 16:00:53,,14,252,,0
152714,15,2,13,245,2017-11-06 16:02:10,,30,195,,0
93416,265,88,24,101,2017-11-06 16:09:19,,23320,6360,,0
55891,35,1,8,21,2017-11-06 16:20:16,2017-11-07 04:41:31,35,280,,1
178180,84,37,24,101,2017-11-06 16:16:34,2017-11-06 16:21:16,3108,2016,,1
59527,9,1,37,442,2017-11-06 16:01:18,,9,333,,0
73766,19,51,29,213,2017-11-06 16:20:39,2017-11-07 02:16:02,969,551,,1
47980,15,1,53,245,2017-11-06 16:19:01,,15,795,,0
61909,35,1,19,274,2017-11-06 16:11:08,2017-11-06 16:42:34,35,665,,1
5185,27,1,19,153,2017-11-06 16:17:33,,27,513,,0
81518,35,1,13,274,2017-11-06 16:20:08,2017-11-06 23:31:21,35,455,,1
38168,23,1,19,153,2017-11-06 16:02:11,,23,437,,0
109413,20,1,13,259,2017-11-06 16:20:00,,20,260,,0
111215,3,1,18,137,2017-11-06 16:15:22,2017-11-07 00:45:34,3,54,,1
63862,8,1,13,145,2017-11-06 16:01:26,,8,104,,0
211241,5,1,6,113,2017-11-06 16:09:46,2017-11-06 16:10:19,5,30,,1
177273,19,0,21,213,2017-11-06 16:02:58,2017-11-06 16:04:57,0,399,,1
146001,9,1,9,215,2017-11-06 16:08:02,,9,81,,0
153540,2,1,19,213,2017-11-06 16:00:11,2017-11-06 16:02:59,2,38,,1
144471,24,1,70,105,2017-11-06 16:14:14,,24,1680,,0
2842,18,1,13,107,2017-11-06 16:06:16,,18,234,,0
114220,9,1,13,466,2017-11-06 16:21:25,,9,117,,0
8179,12,1,22,178,2017-11-06 16:00:36,,12,264,,0
161175,19,0,21,213,2017-11-06 16:04:24,2017-11-06 16:05:36,0,399,,1
151232,19,82,24,213,2017-11-06 16:16:54,2017-11-06 16:18:31,1558,456,,1
32906,8,1,13,145,2017-11-06 16:04:38,2017-11-06 17:43:02,8,104,,1
72164,18,1,25,121,2017-11-06 16:11:23,,18,450,,0
201695,34,1,19,243,2017-11-06 16:10:16,2017-11-06 16:31:43,34,646,,1
54992,35,1,15,21,2017-11-06 16:00:46,2017-11-07 09:36:28,35,525,,1
105560,8,1,20,145,2017-11-06 16:00:40,,8,160,,0
11958,29,1,19,101,2017-11-06 16:22:34,2017-11-06 16:23:09,29,551,,1
109734,20,1,17,478,2017-11-06 16:10:24,,20,340,,0
196868,19,0,29,347,2017-11-06 16:04:04,2017-11-07 03:56:45,0,551,,1
8876,8,1,18,145,2017-11-06 16:01:47,2017-11-07 03:33:31,8,144,,1
119476,35,1,13,21,2017-11-06 16:01:13,2017-11-06 23:10:45,35,455,,1
10118,2,1,9,258,2017-11-06 16:05:26,,2,18,,0
157308,19,49,21,333,2017-11-06 16:02:25,2017-11-06 16:03:56,931,399,,1
173328,19,0,24,213,2017-11-06 16:07:09,2017-11-06 16:07:49,0,456,,1
38300,29,1,19,213,2017-11-06 16:16:43,2017-11-06 22:36:36,29,551,,1
194966,8,1,13,145,2017-11-06 16:04:27,,8,104,,0
89475,12,1,13,178,2017-11-06 16:09:08,,12,156,,0
30614,15,1,19,245,2017-11-06 16:12:34,,15,285,,0
178054,12,1,8,135,2017-11-06 16:14:28,,12,96,,0
52660,12,1,28,178,2017-11-06 16:08:49,,12,336,,0
206375,29,1,13,213,2017-11-06 16:04:50,2017-11-06 16:06:25,29,377,,1
51957,12,1,13,178,2017-11-06 16:05:45,,12,156,,0
182375,12,1,19,265,2017-11-06 16:02:25,,12,228,,0
63614,9,1,13,215,2017-11-06 16:03:08,,9,117,,0
76855,3,1,13,137,2017-11-06 16:18:17,2017-11-06 16:21:57,3,39,,1
763,35,1,10,21,2017-11-06 16:01:25,2017-11-07 03:20:10,35,350,,1
117365,19,0,21,213,2017-11-06 16:04:36,2017-11-06 16:12:12,0,399,,1
141422,72,1,19,101,2017-11-06 16:01:11,2017-11-06 16:15:12,72,1368,,1
189293,2,1,19,435,2017-11-06 16:19:27,,2,38,,0
172483,19,50,0,213,2017-11-06 16:18:13,2017-11-06 16:33:21,950,0,,1
132943,83,0,24,171,2017-11-06 16:08:18,2017-11-06 16:22:53,0,1992,,1
197824,29,1,1,101,2017-11-06 16:09:43,2017-11-06 16:11:30,29,29,,1
123955,18,1,20,134,2017-11-06 16:22:45,2017-11-07 12:35:04,18,360,,1
105292,3,2,22,402,2017-11-06 16:03:34,,6,66,,0
183421,18,1,18,107,2017-11-06 16:12:33,,18,324,,0
113817,24,1,15,105,2017-11-06 16:08:24,,24,360,,0
5729,2,1,19,237,2017-11-06 16:12:40,,2,38,,0
11709,3,1,19,280,2017-11-06 16:07:24,,3,57,,0
18493,9,1,8,445,2017-11-06 16:18:22,,9,72,,0
166788,35,1,13,21,2017-11-06 16:20:33,2017-11-07 13:06:58,35,455,,1
67441,60,1,19,21,2017-11-06 16:06:21,2017-11-07 07:51:34,60,1140,,1
114276,15,1,27,245,2017-11-06 16:01:23,,15,405,,0
158170,8,1,19,145,2017-11-06 16:01:37,,8,152,,0
114220,14,1,13,379,2017-11-06 16:19:59,,14,182,,0
42604,12,1,19,145,2017-11-06 16:04:15,,12,228,,0
63993,15,1,19,245,2017-11-06 16:04:55,,15,285,,0
38633,19,0,21,213,2017-11-06 16:04:25,2017-11-06 16:33:20,0,399,,1
1337,19,0,24,213,2017-11-06 16:12:41,2017-11-06 16:16:02,0,456,,1
190993,19,0,21,213,2017-11-06 16:21:39,2017-11-06 16:23:34,0,399,,1
208669,20,1,19,478,2017-11-06 16:03:03,2017-11-06 19:29:02,20,380,,1
186468,34,1,13,243,2017-11-06 16:11:40,2017-11-06 16:14:48,34,442,,1
11642,9,1,15,258,2017-11-06 16:00:44,,9,135,,0
178308,20,1,12,259,2017-11-06 16:14:19,,20,240,,0
157529,3,1,19,280,2017-11-06 16:00:29,,3,57,,0
119039,35,1,22,274,2017-11-06 16:00:28,2017-11-06 16:33:30,35,770,,1
2564,64,1,40,459,2017-11-06 16:18:13,,64,2560,,0
73065,64,1,16,459,2017-11-06 16:22:19,,64,1024,,0
43959,14,1,15,379,2017-11-06 16:08:49,,14,210,,0
168376,29,1,19,282,2017-11-06 16:19:04,2017-11-06 16:26:20,29,551,,1
202343,10,1,17,113,2017-11-06 16:03:06,2017-11-06 16:03:38,10,170,,1
75979,35,1,41,274,2017-11-06 16:07:07,2017-11-06 18:57:58,35,1435,,1
97197,2,1,19,477,2017-11-06 16:03:17,2017-11-06 16:09:29,2,38,,1
172827,35,1,25,274,2017-11-06 16:00:13,2017-11-06 16:47:49,35,875,,1
56139,8,1,19,140,2017-11-06 16:18:45,,8,152,,0
86277,19,0,29,213,2017-11-06 16:08:07,2017-11-06 16:09:04,0,551,,1
63761,12,1,19,178,2017-11-06 16:13:01,,12,228,,0
169632,12,1,9,178,2017-11-06 16:13:41,,12,108,,0
36183,14,1,19,123,2017-11-06 16:07:37,,14,266,,0
152719,19,0,38,210,2017-11-06 16:19:00,2017-11-06 16:20:21,0,722,,1
6931,12,1,8,178,2017-11-06 16:19:11,,12,96,,0
153144,19,6,29,213,2017-11-06 16:07:06,2017-11-06 16:09:24,114,551,,1
5676,9,1,18,134,2017-11-06 16:12:19,,9,162,,0
139566,15,1,19,130,2017-11-06 16:05:32,2017-11-06 16:14:47,15,285,,1
90353,12,1,19,242,2017-11-06 16:07:49,,12,228,,0
152201,3,1,22,280,2017-11-06 16:19:21,,3,66,,0
135070,19,472,21,213,2017-11-06 16:15:03,2017-11-06 16:16:11,8968,399,,1
182110,35,1,13,274,2017-11-06 16:14:23,2017-11-07 09:22:26,35,455,,1
59076,19,0,0,213,2017-11-06 16:12:07,2017-11-07 04:19:37,0,0,,1
39860,13,1,18,477,2017-11-06 16:02:44,,13,234,,0
5462,12,1,13,178,2017-11-06 16:20:53,,12,156,,0
35604,6,1,19,459,2017-11-06 16:12:44,,6,114,,0
152525,19,0,0,213,2017-11-06 16:11:36,2017-11-06 16:13:56,0,0,,1
193809,2,1,13,213,2017-11-06 16:10:03,2017-11-06 16:14:04,2,26,,1
104512,12,1,8,245,2017-11-06 16:02:50,,12,96,,0
63981,18,1,19,121,2017-11-06 16:18:01,2017-11-06 16:19:22,18,342,,1
55317,24,2,9,105,2017-11-06 16:07:19,,48,216,,0
123912,35,1,13,21,2017-11-06 16:09:15,2017-11-07 08:59:59,35,455,,1
44377,12,1,35,328,2017-11-06 16:14:11,,12,420,,0
180579,35,1,19,274,2017-11-06 16:05:19,2017-11-06 23:11:57,35,665,,1
67628,19,0,0,213,2017-11-06 16:05:38,2017-11-06 16:26:59,0,0,,1
190521,19,88,24,213,2017-11-06 16:08:17,2017-11-06 16:09:18,1672,456,,1
189062,19,0,0,213,2017-11-06 16:11:22,2017-11-06 16:12:53,0,0,,1
10456,20,1,8,259,2017-11-06 16:08:17,2017-11-07 01:46:39,20,160,,1
196179,19,0,29,213,2017-11-06 16:11:46,2017-11-06 16:12:20,0,551,,1
192849,9,1,22,134,2017-11-06 16:12:04,2017-11-06 16:38:05,9,198,,1
193061,15,1,13,140,2017-11-06 16:16:06,,15,195,,0
81634,15,1,19,245,2017-11-06 16:01:08,,15,285,,0
15769,9,1,17,215,2017-11-06 16:13:58,,9,153,,0
91712,2,1,19,205,2017-11-06 16:22:33,,2,38,,0
14240,35,1,19,274,2017-11-06 16:07:48,2017-11-07 00:32:08,35,665,,1
160848,26,1,19,266,2017-11-06 16:02:49,,26,494,,0
85329,29,1,18,343,2017-11-06 16:11:59,2017-11-06 22:34:40,29,522,,1
15365,3,1,26,211,2017-11-06 16:17:26,,3,78,,0
60454,9,1,19,232,2017-11-06 16:13:08,2017-11-07 07:30:04,9,171,,1
65897,19,0,24,213,2017-11-06 16:16:16,2017-11-06 16:18:35,0,456,,1
44050,8,1,13,145,2017-11-06 16:06:32,2017-11-07 09:26:16,8,104,,1
206636,19,657,24,213,2017-11-06 16:03:43,2017-11-06 16:04:52,12483,456,,1
118315,12,2,13,178,2017-11-06 16:15:39,,24,156,,0
193867,19,0,29,347,2017-11-06 16:12:42,2017-11-07 13:01:25,0,551,,1
142978,155,1,19,101,2017-11-06 16:16:19,2017-11-06 16:23:29,155,2945,,1
100485,0,343,0,101,2017-11-06 16:06:21,2017-11-06 16:14:29,0,0,,1
21601,36,1,17,110,2017-11-06 16:03:34,2017-11-06 23:38:18,36,612,,1
36183,15,2,22,245,2017-11-06 16:11:15,,30,330,,0
88118,21,1,27,128,2017-11-06 16:11:12,,21,567,,0
139760,9,1,19,134,2017-11-06 16:07:38,2017-11-06 18:43:44,9,171,,1
74957,19,0,0,333,2017-11-06 16:07:06,2017-11-06 19:48:57,0,0,,1
58097,35,1,17,21,2017-11-06 16:07:27,2017-11-07 08:36:37,35,595,,1
147345,29,1,19,213,2017-11-06 16:22:43,2017-11-06 16:23:44,29,551,,1
188301,3,1,13,173,2017-11-06 16:05:54,,3,39,,0
152515,19,21,24,213,2017-11-06 16:04:32,2017-11-06 16:09:09,399,456,,1
84736,20,1,13,259,2017-11-06 16:19:21,,20,260,,0
98272,2,1,25,477,2017-11-06 16:05:07,,2,50,,0
109243,8,1,36,145,2017-11-06 16:14:23,,8,288,,0
51568,15,1,8,245,2017-11-06 16:18:58,,15,120,,0
45041,2,1,28,205,2017-11-06 16:05:11,,2,56,,0
110854,35,1,13,274,2017-11-06 16:13:51,2017-11-07 01:25:01,35,455,,1
76885,3,1,18,402,2017-11-06 16:20:36,,3,54,,0
123979,8,1,19,145,2017-11-06 16:07:50,,8,152,,0
38504,12,1,25,178,2017-11-06 16:22:21,,12,300,,0
92307,9,1,13,134,2017-11-06 16:07:31,,9,117,,0
115615,35,1,19,21,2017-11-06 16:08:42,2017-11-06 23:19:13,35,665,,1
88024,3,1,13,280,2017-11-06 16:22:37,,3,39,,0
83867,35,1,13,21,2017-11-06 16:22:02,2017-11-06 23:30:43,35,455,,1
138290,64,1,22,459,2017-11-06 16:04:43,,64,1408,,0
58918,14,1,6,463,2017-11-06 16:00:54,,14,84,,0
76811,9,1,22,232,2017-11-06 16:05:25,2017-11-06 23:46:00,9,198,,1
193389,175,1,13,101,2017-11-06 16:12:03,2017-11-06 16:12:56,175,2275,,1
198022,19,0,21,213,2017-11-06 16:02:00,2017-11-06 16:03:17,0,399,,1
85577,25,1,15,259,2017-11-06 16:07:24,,25,375,,0
125446,9,1,16,442,2017-11-06 16:10:06,,9,144,,0
160959,15,1,19,245,2017-11-06 16:15:22,,15,285,,0
134606,1,1,40,135,2017-11-06 16:18:20,2017-11-06 16:18:40,1,40,,1
974,15,1,19,245,2017-11-06 16:18:16,,15,285,,0
123495,27,1,6,153,2017-11-06 16:18:44,,27,162,,0
34978,35,1,3,274,2017-11-06 16:20:40,2017-11-06 16:57:33,35,105,,1
76453,3,1,30,442,2017-11-06 16:18:30,,3,90,,0
19225,19,0,24,347,2017-11-06 16:19:39,2017-11-06 16:50:10,0,456,,1
156610,35,1,19,274,2017-11-06 16:18:05,2017-11-06 21:54:36,35,665,,1
90004,24,1,19,105,2017-11-06 16:14:35,,24,456,,0
184988,19,0,29,213,2017-11-06 16:00:33,2017-11-06 16:01:35,0,551,,1
4442,9,1,19,442,2017-11-06 16:00:47,,9,171,,0
183940,15,1,19,412,2017-11-06 16:09:57,,15,285,,0
3994,15,1,19,379,2017-11-06 16:13:17,,15,285,,0
42726,12,1,17,265,2017-11-06 16:03:13,,12,204,,0
181171,3,1,13,115,2017-11-06 16:07:09,,3,39,,0
121014,19,0,29,213,2017-11-06 16:17:14,2017-11-06 17:12:04,0,551,,1
69661,15,1,13,245,2017-11-06 16:04:32,,15,195,,0
4626,9,1,13,215,2017-11-06 16:05:14,,9,117,,0
180231,16,1,20,268,2017-11-06 16:19:12,2017-11-06 16:25:23,16,320,,1
121014,24,2,9,105,2017-11-06 16:12:58,,48,216,,0
40459,18,1,13,121,2017-11-06 16:02:50,,18,234,,0
104809,35,1,18,21,2017-11-06 16:08:27,2017-11-06 23:42:19,35,630,,1
37135,15,1,35,3,2017-11-06 16:13:25,,15,525,,0
196503,9,1,6,442,2017-11-06 16:03:39,,9,54,,0
49410,9,1,19,215,2017-11-06 16:02:37,,9,171,,0
141224,19,0,0,213,2017-11-06 16:19:06,2017-11-06 16:20:59,0,0,,1
208484,12,1,1,328,2017-11-06 16:05:42,2017-11-06 16:06:17,12,12,,1
24896,24,1,6,105,2017-11-06 16:07:26,2017-11-07 10:58:01,24,144,,1
139765,24,1,13,178,2017-11-06 16:00:41,,24,312,,0
105569,2,1,23,205,2017-11-06 16:07:38,,2,46,,0
186227,29,1,19,101,2017-11-06 16:10:14,2017-11-06 17:43:32,29,551,,1
119357,8,1,19,145,2017-11-06 16:01:01,2017-11-07 02:09:23,8,152,,1
80357,3,1,10,19,2017-11-06 16:19:09,,3,30,,0
125288,12,1,19,178,2017-11-06 16:05:15,,12,228,,0
76979,35,1,19,274,2017-11-06 16:19:32,2017-11-06 20:27:22,35,665,,1
58453,3,1,32,110,2017-11-06 16:14:12,,3,96,,0
170321,12,1,13,178,2017-11-06 16:17:17,,12,156,,0
149699,19,0,50,347,2017-11-06 16:18:47,2017-11-07 05:25:32,0,950,,1
155611,19,0,59,333,2017-11-06 16:08:25,2017-11-06 16:09:36,0,1121,,1
149737,19,381,21,333,2017-11-06 16:07:47,2017-11-06 16:17:13,7239,399,,1
40459,12,1,13,245,2017-11-06 16:22:49,,12,156,,0
51672,35,1,9,21,2017-11-06 16:14:14,2017-11-07 01:22:48,35,315,,1
108881,2,1,19,219,2017-11-06 16:04:01,,2,38,,0
47455,9,1,19,134,2017-11-06 16:07:58,,9,171,,0
41142,12,2,19,265,2017-11-06 16:20:06,,24,228,,0
79857,9,1,17,244,2017-11-06 16:12:48,2017-11-06 16:16:56,9,153,,1
42164,15,1,35,245,2017-11-06 16:13:47,,15,525,,0
81408,3,1,8,280,2017-11-06 16:08:14,2017-11-07 11:10:15,3,24,,1
124041,19,0,21,213,2017-11-06 16:20:38,2017-11-06 16:25:46,0,399,,1
83340,2,1,19,477,2017-11-06 16:04:36,,2,38,,0
191972,35,1,17,274,2017-11-06 16:13:48,2017-11-06 23:57:19,35,595,,1
157082,3,1,53,130,2017-11-06 16:20:30,,3,159,,0
210759,39,1,17,101,2017-11-06 16:05:11,2017-11-06 16:06:26,39,663,,1
137959,12,1,19,178,2017-11-06 16:18:46,,12,228,,0
3964,1,1,30,153,2017-11-06 16:03:31,,1,30,,0
209843,37,1,10,213,2017-11-06 16:17:49,2017-11-06 16:20:27,37,370,,1
191944,11,1,19,469,2017-11-06 16:17:48,2017-11-07 04:57:11,11,209,,1
210588,23,1,19,153,2017-11-06 16:19:47,,23,437,,0
91066,8,1,8,145,2017-11-06 16:02:10,,8,64,,0
164216,8,1,19,145,2017-11-06 16:02:59,2017-11-07 02:15:00,8,152,,1
110090,35,1,17,274,2017-11-06 16:03:33,2017-11-06 18:07:23,35,595,,1
140472,35,1,19,274,2017-11-06 16:22:02,2017-11-06 23:43:51,35,665,,1
36434,8,1,13,145,2017-11-06 16:03:29,,8,104,,0
181857,19,0,21,213,2017-11-06 16:18:07,2017-11-07 09:03:01,0,399,,1
18451,15,1,46,245,2017-11-06 16:10:27,,15,690,,0
142386,265,0,29,101,2017-11-06 16:21:02,2017-11-06 16:27:42,0,7685,,1
142221,3,1,13,424,2017-11-06 16:06:14,2017-11-07 02:07:19,3,39,,1
112442,2,1,13,212,2017-11-06 16:05:28,,2,26,,0
50482,19,0,607,213,2017-11-06 16:08:29,2017-11-06 16:13:26,0,11533,,1
63322,12,1,30,328,2017-11-06 16:17:28,,12,360,,0
156148,19,88,24,213,2017-11-06 16:05:15,2017-11-06 16:08:37,1672,456,,1
169506,12,1,19,242,2017-11-06 16:01:15,,12,228,,0
116542,9,1,35,215,2017-11-06 16:02:53,,9,315,,0
157743,3,1,17,280,2017-11-06 16:01:51,,3,51,,0
205800,9,1,20,134,2017-11-06 16:05:24,2017-11-06 21:30:05,9,180,,1
74732,35,1,13,21,2017-11-06 16:00:13,2017-11-07 11:40:55,35,455,,1
107582,9,1,13,134,2017-11-06 16:10:11,,9,117,,0
62440,19,0,607,213,2017-11-06 16:22:56,2017-11-06 23:36:30,0,11533,,1
126461,12,1,40,265,2017-11-06 16:20:35,,12,480,,0
154475,19,0,21,347,2017-11-06 16:20:05,2017-11-07 02:21:11,0,399,,1
112333,3,1,13,280,2017-11-06 16:05:50,,3,39,,0
136592,1,1,17,377,2017-11-06 16:12:18,,1,17,,0
103311,2,1,13,212,2017-11-06 16:07:16,,2,26,,0
5918,35,1,13,274,2017-11-06 16:01:00,2017-11-06 16:18:46,35,455,,1
149775,12,1,13,178,2017-11-06 16:05:21,,12,156,,0
93960,2,1,22,477,2017-11-06 16:03:00,,2,44,,0
89232,3,1,16,379,2017-11-06 16:10:04,2017-11-06 16:18:06,3,48,,1
156877,15,1,19,245,2017-11-06 16:00:59,,15,285,,0
49190,35,1,19,21,2017-11-06 16:22:59,2017-11-07 12:32:30,35,665,,1
123794,2,1,13,219,2017-11-06 16:09:45,,2,26,,0
141879,3,1,35,409,2017-11-06 16:16:49,,3,105,,0
128828,34,1,19,243,2017-11-06 16:05:36,2017-11-06 16:09:03,34,646,,1
41261,15,1,19,245,2017-11-06 16:22:49,,15,285,,0
88255,3,1,17,280,2017-11-06 16:14:28,,3,51,,0
129967,15,1,14,245,2017-11-06 16:07:16,2017-11-07 06:20:05,15,210,,1
44744,29,1,14,101,2017-11-06 16:09:27,2017-11-06 22:49:18,29,406,,1
4019,3,1,19,135,2017-11-06 16:14:35,,3,57,,0
108947,2,1,22,477,2017-11-06 16:16:37,,2,44,,0
117643,15,1,19,140,2017-11-06 16:21:21,2017-11-07 01:14:17,15,285,,1
37972,14,1,32,442,2017-11-06 16:04:44,,14,448,,0
191032,27,1,9,122,2017-11-06 16:18:17,,27,243,,0
48649,3,1,19,280,2017-11-06 16:20:12,,3,57,,0
166628,15,1,19,245,2017-11-06 16:07:09,,15,285,,0
183964,8,1,13,259,2017-11-06 16:04:24,,8,104,,0
156827,19,0,24,213,2017-11-06 16:12:56,2017-11-07 09:46:26,0,456,,1
125141,6,1,37,125,2017-11-06 16:07:02,,6,222,,0
97803,18,3032,607,107,2017-11-06 16:13:15,,54576,10926,,0
64886,15,1,18,245,2017-11-06 16:18:56,,15,270,,0
194019,79,1,8,213,2017-11-06 16:16:47,2017-11-06 16:18:31,79,632,,1
81736,35,1,18,21,2017-11-06 16:22:14,2017-11-07 00:13:46,35,630,,1
1543,6,1,19,125,2017-11-06 16:22:07,,6,114,,0
204106,17,1,19,280,2017-11-06 16:12:24,2017-11-07 10:07:39,17,323,,1
5348,14,1,13,123,2017-11-06 16:22:46,,14,182,,0
84464,26,1,19,121,2017-11-06 16:10:47,,26,494,,0
61736,3,1,10,205,2017-11-06 16:13:58,,3,30,,0
40654,15,1,22,480,2017-11-06 16:15:55,,15,330,,0
183275,12,1,13,259,2017-11-06 16:11:37,,12,156,,0
115320,35,1,17,21,2017-11-06 16:11:00,2017-11-07 00:51:04,35,595,,1
37774,9,1,13,234,2017-11-06 16:14:10,,9,117,,0
5619,29,1,19,101,2017-11-06 16:18:43,2017-11-07 03:42:17,29,551,,1
5135,29,1,19,213,2017-11-06 16:00:54,2017-11-07 00:22:18,29,551,,1
144384,24,1,19,105,2017-11-06 16:08:41,,24,456,,0
81614,15,1,17,245,2017-11-06 16:10:54,,15,255,,0
193464,3,2,17,280,2017-11-06 16:05:29,,6,51,,0
19539,25,1,13,259,2017-11-06 16:17:38,,25,325,,0
135933,105,1,8,451,2017-11-06 16:21:40,2017-11-06 16:22:40,105,840,,1
180653,35,1,19,21,2017-11-06 16:11:24,2017-11-06 23:33:34,35,665,,1
95003,25,1,13,259,2017-11-06 16:22:51,,25,325,,0
131479,19,0,21,213,2017-11-06 16:08:02,2017-11-06 16:08:56,0,399,,1
74861,1,2,13,134,2017-11-06 16:01:14,,2,13,,0
139523,84,133,38,101,2017-11-06 16:12:16,2017-11-06 16:14:20,11172,3192,,1
159035,11,1,13,219,2017-11-06 16:18:27,2017-11-07 11:05:44,11,143,,1
48906,18,1,13,121,2017-11-06 16:01:45,,18,234,,0
82265,12,1,17,178,2017-11-06 16:11:22,2017-11-06 16:56:53,12,204,,1
161552,20,1,8,478,2017-11-06 16:01:34,,20,160,,0
167723,35,1,20,274,2017-11-06 16:04:05,2017-11-07 09:12:46,35,700,,1
15198,12,1,9,178,2017-11-06 16:05:23,,12,108,,0
198744,29,1,19,213,2017-11-06 16:21:02,2017-11-06 16:23:09,29,551,,1
172483,2,1,17,477,2017-11-06 16:19:31,2017-11-06 16:22:12,2,34,,1
172887,35,1,25,274,2017-11-06 16:00:55,2017-11-06 23:32:11,35,875,,1
105359,10,1,19,113,2017-11-06 16:15:06,2017-11-07 01:53:50,10,190,,1
84464,35,1,19,274,2017-11-06 16:12:02,2017-11-06 16:18:42,35,665,,1
2494,19,58,0,213,2017-11-06 16:21:43,2017-11-06 16:26:12,1102,0,,1
208340,29,1,19,333,2017-11-06 16:01:33,2017-11-06 16:03:20,29,551,,1
