app	device	os	channel	delta_time	is_attributed
3	1	19	280	2.6	0
19	0	50	213	1.57	1
35	1	16	274	1.66	1
35	1	13	274	0.81	1
29	1	18	213	2.93	1
3	1	19	280	2.57	0
68	3866	866	347	2.82	0
25	1	13	259	1.72	0
19	0	21	282	0.66	1
12	1	22	259	2.1	0
3	1	19	280	1.91	0
35	1	19	274	2.52	1
23	1	13	153	0.9	0
9	1	19	334	2.31	0
5	1	27	113	1.66	1
23	1	15	153	2.68	0
16	1	19	243	2.98	1
15	1	13	245	1.84	0
29	1	3	213	2.34	1
2	1	19	205	1.28	0
19	88	24	213	0.6	1
124	1	17	213	1.68	1
26	1	19	121	0.59	1
14	1	19	439	2.01	0
15	1	13	245	2.37	0
9	1	15	232	2.72	0
19	0	38	213	0.9	1
15	1	19	245	0.45	0
10	1	19	317	1.05	1
3	1	25	280	2.01	0
19	0	50	213	1.86	1
2	1	19	205	1.79	0
19	0	38	213	1.02	1
9	1	13	466	2.38	0
19	0	24	213	2.67	1
18	1	22	134	1.77	1
12	1	18	178	0.7	0
20	1	13	259	1.06	1
3	1	8	480	1.47	0
18	1	19	121	2.47	0
28	1	13	135	1.51	1
9	1	18	445	0.86	0
15	1	10	245	2.03	0
23	1	13	153	2.79	0
9	1	16	489	0.76	0
9	1	13	145	1.93	0
11	1	14	319	2.43	0
18	1	32	107	0.74	0
108	1	19	243	2.86	1
15	1	15	278	1.8	0
5	1	37	113	1.51	1
3	1	13	280	2.07	0
14	1	17	463	1.44	0
2	1	19	477	0.6	1
32	1	37	376	0.72	0
19	95	21	213	0.87	1
19	0	0	213	2.24	1
45	1	2	419	1.79	1
46	326	29	320	1.18	1
72	1	20	101	2.06	1
18	1	13	121	2.78	0
19	0	866	213	2.75	1
15	1	13	245	2.53	0
7	1	20	101	2.56	1
2	1	36	435	0.9	0
35	1	19	21	1.67	1
14	1	10	134	3	0
35	1	10	21	2.45	1
14	1	13	463	3	0
9	2	9	134	2.44	0
19	0	0	213	0.96	1
72	1	13	101	1.92	1
39	1	17	213	1.39	1
11	1	19	487	1.64	1
19	88	24	213	1.52	1
2	1	19	205	2.13	0
9	1	3	466	2.67	0
29	1	19	213	1.79	1
1	1	13	137	2.52	0
247	1	10	101	0.84	1
35	1	19	21	1.54	1
18	1	14	376	1.76	0
26	1	20	477	1.67	0
19	1143	24	213	1.9	1
15	1	22	480	2.74	0
2	1	15	237	2.48	0
64	1	23	459	0.66	0
2	1	19	236	2.98	0
45	1	43	419	2.21	1
29	1	18	343	1.63	1
7	1	22	101	2.64	1
23	1	19	153	1.66	0
82	1	13	21	2.36	1
23	1	37	153	0.28	0
17	1	19	134	1.75	0
3	1	3	280	1.42	0
3	1	19	280	2.01	0
19	0	50	347	1.68	1
11	1	17	469	1.03	0
19	30	0	213	0.7	1
6	1	13	459	1.71	0
8	1	13	145	2.79	0
35	1	19	274	0.54	1
12	1	8	481	1.81	0
35	1	25	21	1.56	1
19	0	0	347	2.56	1
2	1	6	205	2.75	0
3	1	13	280	2.9	0
7	1	19	101	2.64	0
11	1	19	122	2.33	1
15	1	18	140	2.02	0
19	263	21	213	1.51	1
19	75	0	282	1.98	1
15	1	13	480	0.76	0
1	1	25	153	1.8	0
11	1	11	219	2.58	0
3	1	15	442	0.87	0
13	1	13	477	1.93	0
15	1	30	278	0.05	0
9	1	19	107	1.85	1
14	1	13	480	2.71	0
2	1	17	237	0.83	0
15	1	20	245	2.52	0
2	1	34	18	0.82	0
11	1	17	487	2.51	0
51	0	24	203	0.55	1
19	16	0	213	2.73	1
35	1	19	21	1.46	1
13	1	17	477	1.93	0
9	1	13	442	0.35	1
12	1	13	265	1.42	0
3	1	19	280	1.94	0
3	2	49	280	2.9	0
2	1	13	212	0.81	0
19	0	29	213	2.74	1
14	1	13	160	2.79	0
72	1	13	101	1.85	1
19	0	0	213	0.55	1
19	0	24	213	1.52	1
19	0	21	213	0.9	1
2	1	20	469	2.01	0
3	1	27	280	2.09	0
1	1	13	134	0.79	0
19	30	0	213	1.98	1
3	1	19	280	1.9	0
101	1	19	21	1.37	1
12	1	22	205	1.39	0
9	1	6	442	0.7	0
8	1	12	145	0.39	0
8	1	20	140	0.77	0
3	1	9	489	0.64	0
55	1	13	453	1.53	1
45	1	4	419	1.8	1
122	1	32	213	0.83	1
18	1	13	439	1.89	0
19	37	24	213	2.96	1
10	1	37	113	0.43	1
19	6	29	213	2.87	1
1	1	13	134	1.19	0
10	1	43	113	0.59	1
14	1	13	379	0.92	0
3	1	13	402	2.34	1
12	1	19	140	2.27	0
3	1	17	130	2.94	0
8	1	19	145	2.35	1
21	2	9	232	1.32	0
29	1	19	213	0.67	1
19	40	24	333	0.62	1
15	1	13	278	0.91	0
3	1	49	211	2.32	0
18	1	10	107	1.75	0
10	1	19	377	2.42	1
8	1	19	145	2.37	1
5	1	36	113	2.98	1
18	1	22	107	1.88	0
29	1	13	213	2.45	1
19	0	0	268	0.06	1
15	1	10	140	0.38	0
35	1	19	21	0.71	1
12	1	13	326	0.61	0
35	1	13	274	1.4	1
10	1	18	113	3.01	1
14	1	13	439	2.79	0
10	1	43	113	0.93	1
18	1	13	134	0.89	0
35	1	19	21	2.39	1
19	579	29	213	1.64	1
3	1	27	280	1.99	0
19	0	29	101	0.86	1
12	1	13	328	2.56	0
12	1	13	265	1.47	0
14	1	9	489	0.62	0
9	1	20	466	1.28	0
3	1	13	280	1.49	0
19	0	21	101	2.96	1
2	1	16	205	1.99	0
6	1	19	459	1.4	0
3	1	13	480	2.87	0
1	1	13	124	1.87	0
35	1	13	21	2.49	1
19	0	0	213	2.36	1
9	1	6	244	1.79	0
19	16	0	213	1.92	1
2	2	19	205	1.79	0
19	0	0	347	0.68	1
25	1	8	259	1.37	0
15	1	25	130	1.11	0
11	1	6	319	1.62	1
8	1	25	145	2.6	0
1	1	22	115	0.37	0
5	1	7	113	1.82	1
19	99	59	343	2.81	1
5	1	11	113	0.6	1
2	1	19	205	1.02	0
27	1	37	280	2.41	1
9	2	49	215	0.55	0
10	1	32	113	2.63	1
150	1	19	110	0.77	0
19	0	21	213	0.89	1
19	747	0	213	2.83	1
9	1	19	134	1.06	1
10	1	13	377	1.94	1
45	1	11	419	2.91	1
9	1	46	334	0.86	0
14	1	13	439	1.37	0
11	1	8	122	0.6	1
19	0	38	213	0.95	1
12	1	19	326	1.52	0
45	1	49	5	0.72	1
9	1	18	234	0.53	0
145	230	24	320	2.5	1
3	1	19	137	2.92	0
2	1	16	219	2.61	1
19	220	21	213	1.31	1
5	1	43	113	0.83	1
21	1	28	128	1.72	0
35	1	19	274	2.5	1
27	1	32	332	0.88	1
19	0	21	333	2.97	1
35	1	13	21	1.64	1
21	2	19	128	2.23	0
19	21	24	213	0.04	1
35	1	18	21	1.32	1
12	1	13	265	0.41	0
151	0	38	347	0.88	0
37	2	18	21	1.42	0
18	1	19	439	0.76	1
19	0	29	347	2.43	1
19	154	0	213	0.8	1
10	1	32	113	1.99	1
35	1	10	274	1.51	1
9	1	22	232	2.81	1
11	1	28	325	2.47	1
12	1	19	178	0.32	0
15	1	16	153	2.98	0
24	1	62	105	3.01	0
3	1	10	19	0.76	0
19	7	21	213	0.45	1
29	1	19	343	2.38	1
14	1	13	442	1.63	0
2	1	19	219	0.61	0
2	1	16	237	1.58	0
19	172	59	213	1.97	1
20	1	14	259	1	0
29	1	20	213	0.54	1
19	0	0	347	2.12	0
19	30	0	213	1.59	1
10	1	13	377	1.34	1
12	1	9	245	2.05	0
2	1	27	477	1.01	0
19	0	24	343	2.91	1
3	1	13	19	0.93	0
9	1	6	215	0.88	0
17	1	13	280	0.54	0
45	1	30	465	1.53	1
15	1	19	412	1.54	0
19	0	29	213	2.68	1
79	1	13	213	2.02	1
15	1	22	245	0.56	1
70	0	24	243	2.79	1
35	1	13	21	2.44	1
79	1	13	213	1.95	1
2	1	36	435	2.92	0
12	1	13	259	1.37	0
19	1236	0	213	1.91	1
13	1	22	477	3	0
9	1	6	134	0.32	0
2	1	19	477	2.57	1
2	1	9	236	1.48	0
19	0	24	213	2.53	1
3	1	13	135	0.43	0
19	0	24	213	0.38	1
35	1	15	21	1.77	1
64	1	19	459	0.41	0
29	1	13	101	1.52	1
18	1	13	107	0.45	0
12	1	25	178	2.67	0
19	0	50	213	0.93	1
3	1	17	424	2.48	0
35	1	18	21	1.47	1
15	1	22	245	2.08	0
3	1	25	280	1.51	0
26	1	42	121	2.86	0
3	1	17	115	2.16	0
35	1	13	21	0.42	1
18	1	16	121	0.56	0
35	1	13	21	1.49	1
12	1	13	497	2.04	0
3	1	28	19	1.99	0
35	1	19	274	2.74	1
19	0	24	213	1.56	1
19	0	24	213	2.83	1
3	2	9	452	0.75	0
19	0	0	213	1.72	1
18	1	13	107	0.51	0
19	0	21	213	2.75	1
9	1	13	258	1.06	0
19	0	24	213	0.85	1
5	1	11	113	2.81	1
29	1	18	101	1.47	1
50	0	0	213	2.57	1
19	0	50	213	1.33	1
107	1	19	171	0.81	1
72	1	13	101	0.89	1
35	1	19	274	1.77	1
15	1	13	265	0.48	0
35	1	13	21	2.36	1
2	1	19	477	0.48	0
8	1	32	145	2.71	0
12	1	13	265	2.78	0
19	6	29	213	2.86	1
84	0	50	101	0.38	1
13	1	13	400	0.93	0
15	1	13	245	1.06	0
35	1	19	274	0.62	1
5	1	4	113	2.87	1
3	1	13	280	1.85	0
9	1	19	134	2.32	1
19	0	21	213	0.42	1
12	1	19	245	1.03	1
3	1	22	480	0.42	0
18	1	13	107	0.68	1
2	1	13	364	2.8	0
14	1	47	446	3.02	0
24	1	13	105	1.42	0
9	1	10	442	2.94	0
5	1	19	377	0.52	1
15	1	13	386	1.61	0
3	1	16	489	2.39	0
3	1	12	379	2.94	0
19	0	24	213	2.43	1
5	1	61	113	1.47	1
12	1	13	140	0.68	0
2	1	18	477	2	0
5	1	61	113	0.62	1
28	1	20	135	1.01	0
10	1	16	377	2.42	1
3	1	17	280	2.47	0
35	1	19	21	1.52	1
19	0	24	333	0.95	1
26	1	19	477	2.62	0
15	1	19	315	1.6	0
3	1	1	173	2.54	0
35	1	17	274	1.84	1
19	82	24	333	1.76	0
19	0	24	347	1.59	1
66	1	17	101	2.7	1
12	1	19	245	2.47	0
3	1	13	280	1.62	0
2	1	19	205	1.92	0
35	1	13	274	0.8	1
9	1	13	107	2.9	1
15	1	19	130	0.3	0
15	1	19	245	1.31	0
14	1	18	463	0.09	0
26	1	19	121	2.42	0
29	1	13	343	0.54	1
19	314	29	213	1.96	1
10	1	36	113	2.49	1
17	1	19	280	1.01	0
7	1	6	101	2.91	0
16	59	10	268	2.03	1
12	1	9	245	2.63	0
64	1	18	459	2.8	0
9	1	19	334	2.86	0
14	1	19	439	1.29	0
20	1	6	259	0.81	1
29	1	1	101	1.52	1
18	1	18	121	0.84	0
13	1	25	477	2.78	0
10	1	32	113	2.53	1
108	1	13	243	0.31	1
5	1	47	113	3.01	1
14	1	22	401	2.36	1
5	1	32	113	1.54	1
28	1	30	135	0.4	0
19	11	24	213	2.89	1
11	1	6	330	0.93	1
9	1	19	442	2.77	0
3	1	13	280	2.44	0
19	0	21	213	0.63	1
29	1	22	101	1.88	1
14	1	53	480	2.95	0
79	1	13	213	2.93	1
21	1	9	128	1.58	0
15	1	20	386	1.69	0
19	40	24	213	2.93	1
19	0	29	333	2.62	1
11	1	17	219	2.27	1
3	1	14	280	0.53	1
19	1111	21	282	2.51	1
19	16	0	213	0.7	1
10	1	37	113	0.81	1
14	1	13	442	2.65	0
9	1	13	107	2.39	1
195	1	17	0	2.56	1
19	109	29	213	2.72	1
9	1	17	442	2.35	1
2	1	13	122	2.42	0
3	1	13	280	0.69	0
9	1	13	442	2.33	0
1	1	19	134	0.34	0
10	1	27	113	1.57	1
2	1	19	236	2.05	0
10	1	43	113	0.47	1
3	1	19	280	2.57	0
25	1	13	259	2.62	0
19	0	24	213	1.96	1
8	1	6	145	0.07	1
18	1	13	107	1.67	0
14	1	19	401	1.78	0
9	1	19	449	1.87	0
12	1	17	409	2.9	0
3	1	30	280	1.84	0
1	1	10	153	0.72	0
5	1	61	113	2.83	1
8	1	19	145	0.68	0
145	154	24	320	0.74	1
19	40	24	213	2.09	1
19	0	21	213	0.59	1
24	2	17	178	2	0
12	1	19	178	2.8	0
21	1	31	232	2.43	0
19	0	29	213	2.39	1
3	1	9	173	1.95	0
29	1	19	213	1.66	1
11	1	17	319	0.4	0
18	1	13	121	2.05	1
18	1	6	107	2.29	1
19	1997	24	213	1.76	1
19	0	29	333	1.96	1
15	1	13	140	1.34	0
64	1	11	459	1.74	0
19	116	0	213	1.16	1
3	1	27	424	2.54	0
19	0	21	213	0.54	1
12	1	41	245	1.74	0
9	1	9	215	1.86	0
35	1	19	274	1.65	1
19	0	0	213	2.14	1
12	1	13	259	2.03	0
3	1	6	280	2.43	0
21	1	19	128	0.51	0
8	2	25	145	0.32	0
12	1	13	242	0.99	0
18	1	17	439	0.88	0
36	1	96	407	2.47	1
13	1	19	477	1.57	1
153	1	13	243	1.9	1
35	1	13	21	2.39	1
3	1	13	424	2.48	0
64	1	27	459	1.42	0
12	1	19	259	1.55	0
3	1	10	280	0.65	0
12	1	41	259	1.04	0
2	1	19	469	2.69	1
19	0	24	213	1.85	1
26	1	19	477	1.88	0
19	0	29	213	0.53	1
240	3543	748	347	1.44	0
10	1	32	113	2.7	1
19	0	24	213	0.64	1
155	1	19	101	1.11	1
14	1	47	134	0.98	0
3	1	19	402	0.93	0
12	1	15	259	0.59	0
64	1	25	459	0.96	0
3	1	13	280	1.92	0
19	592	38	213	1.84	1
14	1	10	401	2.52	0
19	0	38	347	0.72	1
3	1	22	379	0.7	0
19	0	38	347	2.9	1
19	0	29	213	0.95	1
35	1	6	21	0.02	1
26	1	13	121	0.42	1
29	1	13	343	2.92	1
3	1	13	205	2.92	0
2	1	43	435	2.73	0
29	1	17	213	0.87	1
18	1	13	107	0.95	0
29	1	13	101	2.63	1
29	1	19	213	2.02	1
19	372	24	213	0.96	1
2	1	18	236	2.43	0
2	1	13	477	0.59	0
19	0	24	213	0.84	1
3	1	1	19	1.9	0
9	1	53	232	1.74	0
48	1	13	213	0.78	1
9	1	13	334	2.44	0
9	1	19	466	2.46	0
26	1	14	266	1.56	0
29	1	13	101	2.97	1
3	1	19	280	1.81	0
19	0	24	213	2.54	1
20	1	8	259	2.96	1
7	1	30	101	2.66	0
3	1	8	205	2.4	0
9	1	22	232	0.83	0
3	1	10	280	2.41	0
32	2	79	376	1.44	0
19	40	24	282	1.31	1
20	1	28	259	1.31	0
45	1	47	465	2.71	1
84	0	607	101	0.52	1
3	2	56	280	1.37	0
9	1	13	244	1.02	0
45	1	30	419	2.97	1
9	1	10	134	2.05	0
35	1	22	274	1.74	1
15	2	13	245	2.9	0
9	1	13	107	2.46	0
2	1	13	237	1.6	0
14	1	19	401	0.9	0
5	1	11	113	2.89	1
9	1	13	215	0.39	0
18	1	19	121	1.08	0
8	1	19	145	2.66	0
20	1	866	259	3.01	0
18	1	17	376	1.97	1
18	1	13	121	1.65	1
45	1	32	465	1.53	1
19	0	38	213	1.56	1
43	1	22	330	0.83	1
9	1	13	134	0.37	1
10	1	43	113	0.74	1
15	1	13	259	0.7	0
29	1	96	343	1.51	1
10	1	1	113	0.68	1
3	1	8	466	2.5	0
35	1	13	21	1.56	1
20	1	19	478	0.12	1
15	1	19	412	2.38	0
12	1	3	245	1.01	0
2	1	13	122	2.44	0
10	1	3	317	2.38	1
3	1	13	280	0.5	0
8	1	19	145	2.46	1
18	1	13	107	2.41	0
21	1	17	232	2.76	0
66	1	19	101	2.73	1
35	1	13	21	0.47	1
18	1	13	107	2.68	0
18	1	18	134	1.98	0
10	1	19	377	2.1	1
19	30	0	282	2.73	1
11	1	13	122	2.71	0
19	0	866	282	2.93	1
18	1	20	439	0.41	0
12	1	13	140	0.81	0
9	1	18	215	0.35	1
35	1	17	21	1.41	1
35	1	18	21	2.45	1
1	1	19	115	1.58	0
3	1	17	137	0.93	0
14	1	8	442	0.45	0
29	1	19	213	2.55	1
29	1	13	213	0.94	1
15	1	19	130	0.32	0
29	1	19	343	2.84	1
19	0	50	210	2.54	1
9	1	13	244	1.34	0
15	1	13	111	2.74	0
19	137	24	213	2	1
3	1	14	211	2.9	0
37	1	19	282	0.89	1
66	1	19	101	2.54	1
72	1	9	101	2.78	1
18	1	20	107	1.71	0
11	1	22	481	2.36	0
1	1	19	134	2.31	0
10	1	13	377	0.6	1
202	1	12	421	0.37	1
20	1	19	259	0.58	0
19	657	24	213	0.61	1
12	1	3	265	1.82	0
19	0	21	213	2.92	1
5	1	61	113	1.8	1
19	96	50	282	2.67	1
19	322	24	213	1.79	1
19	0	0	347	2.61	1
93	1	13	371	1.45	0
2	1	13	122	0.93	0
5	1	43	113	2.99	1
5	1	61	113	1.61	1
12	1	13	140	0.83	0
35	1	19	21	1.53	1
19	0	21	347	2.72	1
29	1	13	213	1.99	1
12	1	13	265	2.63	0
15	1	6	140	1.52	0
10	1	22	113	0.53	1
35	1	13	21	1.54	1
12	1	18	265	0.45	0
26	1	13	266	1.43	1
2	1	19	477	0.48	0
8	1	35	145	2.42	0
12	1	19	124	2.58	1
35	1	13	21	1.59	1
19	651	21	213	1.7	1
29	1	13	213	0.8	1
19	343	0	213	0.67	1
19	97	24	213	1.29	1
19	0	24	213	2.79	1
19	0	38	213	2.51	1
3	1	13	417	2.05	0
18	1	19	121	2.98	0
12	1	19	265	0.69	0
1	1	14	377	2.6	0
12	1	19	497	2.66	0
35	1	19	21	0.4	1
9	1	19	232	2.66	1
28	1	22	135	1.6	1
18	1	6	107	1.37	0
19	0	0	213	1.61	1
2	1	19	236	0.57	0
18	1	23	376	0.71	0
10	1	61	113	0.66	1
18	1	47	121	1.95	0
19	21	24	213	2.96	1
14	1	9	134	0.9	0
35	1	13	21	0.52	1
15	1	13	379	2.79	0
12	1	28	265	1.71	0
18	1	19	134	1.79	0
13	1	19	477	2.92	0
72	1	8	101	2.86	1
9	1	13	334	2.6	0
29	1	13	213	1.46	1
5	1	30	113	1.61	1
19	16	0	213	1.93	1
139	2	19	101	1.9	1
3	1	13	280	2.08	0
3	1	6	280	1.9	0
12	1	20	340	2.48	0
5	1	36	113	1.69	1
5	1	4	113	3.02	1
19	0	24	213	2.89	1
18	1	19	107	1.68	0
9	1	8	466	3.01	0
45	1	61	465	2.83	1
2	1	22	477	1.69	0
10	1	20	113	0.9	1
72	1	19	101	0.91	1
29	1	19	213	0.55	1
12	1	30	265	0.9	0
9	1	13	334	0.48	0
12	1	19	409	1.46	0
29	1	31	213	0.56	1
18	1	18	107	2.64	0
19	210	24	213	0.35	1
6	1	13	459	0.02	0
19	114	0	213	1.8	1
29	1	18	282	2.61	1
25	1	25	259	0.99	0
3	1	22	466	0.6	1
12	1	13	245	0.82	0
3	1	13	280	2.06	0
36	1	6	110	0.18	0
14	1	13	442	1.49	0
12	1	6	245	1.4	0
15	1	13	140	1.39	0
72	1	9	101	2.57	1
32	1	17	376	1.82	0
12	1	19	122	2.71	0
9	1	6	134	2.77	0
60	1	19	21	0.65	1
72	1	10	101	1.99	1
35	1	19	274	0.61	1
19	16	0	213	2.83	1
12	1	13	326	1.01	0
2	1	17	212	0.68	0
1	1	19	101	2.81	0
19	0	0	213	2.92	1
2	1	13	401	1.53	0
23	1	37	153	2.69	0
35	1	12	274	0.82	1
19	18	0	213	2.57	1
190	1	6	101	1.58	1
3	1	19	280	0.48	0
12	1	19	105	0.75	0
130	0	866	282	2.19	1
9	2	32	334	1.87	0
12	1	19	265	0.55	0
12	1	10	212	0.9	0
14	1	19	379	2.63	0
10	1	27	113	2.42	1
1	1	13	115	1.54	0
12	1	22	409	1.45	0
9	1	13	466	2.46	1
11	1	22	319	0.36	1
3	1	13	280	2	0
12	1	13	178	2.98	0
19	50	0	213	1.22	1
72	1	10	101	2.96	1
12	1	19	481	2.94	0
2	1	13	243	1.99	0
3	1	13	280	2.36	0
14	1	12	480	0.53	0
12	1	13	212	2.69	0
12	1	37	259	1.48	0
19	18	0	213	2.05	1
19	0	24	213	1.67	1
8	1	13	145	1.08	1
12	1	13	340	2.87	0
12	1	13	265	2.82	0
9	1	13	232	2.8	0
21	1	46	128	1.51	0
8	1	22	145	0.35	0
29	1	13	343	0.57	1
3	2	9	280	1.98	0
11	1	19	319	0.56	1
29	1	20	213	2.38	1
19	0	21	213	0.56	1
35	1	20	21	1.67	1
18	2	13	121	1.74	1
2	2	10	205	1.87	0
10	1	7	113	1.89	1
3	1	3	489	2.67	0
14	1	28	439	1.39	0
1	1	19	115	2.81	0
9	2	16	258	1.51	0
12	1	19	245	1.88	0
19	18	0	282	0.53	1
9	1	19	466	1.83	0
29	1	26	213	0.68	1
21	1	15	128	0.14	0
19	0	24	213	2.42	1
64	1	13	459	2.32	0
35	1	13	21	2.46	1
14	1	19	401	0.66	0
19	61	21	213	2.97	1
20	1	19	259	0.57	1
14	1	13	349	1.52	0
35	1	14	274	1.91	1
19	0	29	213	0.4	1
15	1	19	245	1.91	0
19	0	21	213	0.26	1
12	1	6	409	1.13	1
8	1	13	145	2.05	1
12	1	12	245	1.01	0
1	1	37	439	1.62	0
6	1	8	459	0.23	0
101	1	19	21	0.51	1
26	1	17	121	0.63	0
9	1	13	244	2.6	0
3	1	19	280	1.56	0
29	1	8	213	1.44	1
14	1	3	134	0.46	0
72	1	18	101	1.94	1
12	1	19	340	2.94	0
2	1	19	401	1.58	0
5	1	27	377	2.38	0
9	1	19	244	0.42	1
35	1	13	21	0.43	1
1	1	14	153	1.35	1
1	1	22	101	2.83	0
23	1	47	153	1.56	0
2	1	19	477	2.02	0
26	1	13	121	2.02	0
19	0	24	347	2.75	1
3	1	19	480	1.86	0
19	0	50	213	2.29	1
29	1	18	213	1.91	1
29	1	12	213	1.79	1
2	1	18	212	1.58	0
3	1	17	489	1.86	0
14	1	19	467	2.61	0
19	0	0	347	2.4	1
18	1	22	121	0.61	0
9	1	11	466	2.77	0
35	1	19	21	0.41	1
12	1	35	265	0.44	0
8	1	13	145	0.37	0
10	1	27	113	1.6	1
18	1	22	107	2.53	0
35	1	13	21	2.33	1
35	1	17	21	0.43	1
13	1	10	477	0.94	0
35	1	13	21	0.36	1
12	1	13	259	0.93	0
18	1	13	107	0.57	1
3	1	35	211	2.67	0
83	0	38	171	0.14	1
19	0	38	343	2.81	0
9	1	13	466	2.81	1
39	1	13	213	0.54	1
35	1	18	21	2.61	1
9	2	13	232	2.81	0
3	1	19	135	0.07	0
3	1	1	280	1.8	0
19	299	0	213	0.23	1
3	1	12	205	0.59	0
19	0	38	347	1.63	1
3	1	13	19	1.7	0
2	1	35	212	1.88	0
11	1	13	122	1.8	0
2	1	19	205	1.91	0
19	0	0	213	1.37	1
5	1	19	377	0.4	0
19	0	29	213	2.96	1
11	1	1	173	1.16	0
12	1	19	259	2.68	0
2	1	37	452	1.04	0
10	1	14	377	2.81	1
3	1	31	280	0.42	0
5	1	4	113	2.55	1
18	2	37	379	2.85	0
7	1	13	101	2.89	0
12	1	25	259	1.91	0
29	1	13	213	1.9	1
9	1	23	244	1.5	0
18	1	17	134	0.71	0
19	0	0	347	0.73	1
9	1	19	466	1.76	0
21	2	13	128	0.73	0
55	1	22	101	2.87	1
15	1	13	245	2.41	0
72	1	19	101	0.92	1
3	1	19	153	0.6	0
9	1	22	466	1.7	1
20	1	13	478	2.55	1
15	1	13	245	0.12	0
19	0	0	347	2.71	1
9	1	6	134	1.31	0
3	1	19	113	2.73	0
9	1	13	232	0.82	0
35	1	22	21	0.48	1
12	1	6	424	1.17	1
39	1	18	213	0.35	1
62	1	19	21	0.67	1
12	1	17	245	1.86	0
10	1	43	113	0.44	1
8	1	10	145	2.7	0
5	1	27	113	1.9	1
12	1	19	178	0.53	0
3	1	18	452	1.92	1
35	1	20	274	1.95	1
19	479	0	213	2.5	1
2	1	18	243	0.05	1
35	1	19	21	2.37	1
18	1	19	121	1.81	0
12	1	32	19	2.55	0
35	1	18	274	0.75	1
9	1	13	489	2.33	1
3	1	19	409	0.95	0
3	1	19	137	2.85	0
12	1	19	213	2.71	1
12	1	25	259	1.69	0
9	1	19	466	2.67	0
25	1	19	259	1.8	0
19	33	29	213	3.01	1
3	1	41	211	1.99	0
101	1	19	21	1.5	1
82	1	13	21	1.06	1
19	0	21	213	0.65	1
2	1	13	236	0.7	0
2	1	8	435	0.85	0
9	1	19	215	0.56	1
9	1	22	445	2.34	1
9	1	22	334	2.71	1
19	0	24	333	1.48	1
3	1	1	280	0.52	0
3	1	13	417	2.73	0
19	0	38	333	1.97	1
64	1	22	459	0.51	0
45	1	7	419	1.85	1
45	1	43	465	1.94	1
6	1	9	459	2.65	0
2	1	6	435	2.46	1
2	1	19	237	2.43	0
9	1	41	489	2.45	1
12	1	19	140	3	0
18	1	3	107	1.51	0
18	1	32	121	1.55	0
19	0	38	213	1.91	1
29	1	25	343	1.83	1
45	1	1	5	1.54	1
19	11	24	213	0.82	1
12	1	25	122	2.31	0
20	1	19	478	1.81	0
35	1	3	21	0.05	1
3	1	28	115	1.61	0
15	1	4	3	0.03	0
19	0	29	213	0.55	1
18	1	6	107	1.54	0
19	0	29	213	1.9	1
9	1	13	134	0.32	1
15	1	13	153	1.52	0
19	0	866	213	2.7	1
2	1	13	212	2.05	0
19	0	29	213	0.88	1
9	1	19	215	0.79	0
19	0	24	213	2.02	1
19	0	29	213	2.44	1
18	1	35	134	1.6	0
14	1	19	401	1	0
35	1	19	21	2.68	1
9	1	13	466	1.45	0
18	1	47	121	1.55	0
18	1	20	107	0.34	0
2	1	32	219	1.69	0
27	1	1	122	1.85	0
2	1	19	452	0.44	0
19	0	0	213	3	1
20	1	19	259	1.08	0
3	1	22	442	0.96	0
2	1	22	477	1.04	0
29	1	18	213	2.78	1
19	0	24	347	0.71	1
9	2	25	244	2.83	0
108	1	22	243	2.83	1
3	1	18	137	1.54	0
19	0	0	343	1.69	1
15	1	11	245	2.02	0
19	0	50	213	1.75	1
8	1	13	145	0.77	0
3	1	53	173	1.58	0
83	0	38	171	1.82	1
19	170	0	213	1.95	1
15	1	19	245	2.31	0
19	0	24	213	2.81	1
3	1	19	280	0.66	1
5	1	27	113	0.48	1
29	1	13	213	1.34	1
35	1	6	21	0.93	1
64	1	13	459	1.49	0
29	1	19	213	0.3	1
8	1	19	145	2.23	0
23	1	19	153	0.48	0
1	1	9	377	1.33	0
12	1	22	245	1.18	0
3	1	6	379	0.48	0
19	0	866	343	2.92	1
12	1	8	160	2.89	0
3	1	6	280	2.38	0
15	2	49	245	1.61	0
5	1	61	113	1.71	1
19	0	24	333	1.38	1
9	1	19	232	0.58	0
72	1	25	101	2.97	1
7	1	10	101	2.89	0
35	1	19	21	1.68	1
14	1	17	489	2.65	0
20	1	13	259	0.83	0
29	1	20	343	2.82	1
35	1	3	21	0.49	1
21	1	20	128	1.82	0
29	1	10	213	2.62	1
128	1	26	243	1.67	1
3	1	19	371	1.38	0
29	1	19	343	1.31	1
18	1	13	439	2.83	0
3	1	15	280	0.63	0
12	1	17	205	1.35	0
10	1	36	113	0.91	1
3	1	47	114	2.55	1
19	0	0	213	2.66	1
14	1	19	463	1.45	0
18	1	13	121	2.67	0
84	0	21	101	2.79	1
29	1	6	343	2.44	0
9	1	19	466	2.69	0
14	1	47	134	1.39	0
19	90	24	213	1.67	1
21	1	13	128	2.7	0
10	1	27	113	2.01	1
29	1	19	343	1.94	1
9	1	17	466	1.61	1
9	1	13	442	1.48	0
12	1	19	328	0.05	0
3	1	22	280	0.56	0
5	1	47	113	0.61	1
16	1	13	268	1	1
25	1	13	259	2.07	0
1	1	13	101	2.74	0
62	1	18	21	1.7	1
45	1	26	5	0.79	1
